,Season,Stage,Player,Field_goals_made,Field_goals_attempts,3_points_made,3_points_attempts,Free_throw_made,Free_throw_attempts
NBA,2019 - 2020,Regular_Season,"Larry Nance, Jr.",229,431,56,159,50,74
NBA,2019 - 2020,Regular_Season,Malik Monk,212,488,58,204,82,100
NBA,2019 - 2020,Regular_Season,Markieff Morris,203,458,88,228,66,85
NBA,2019 - 2020,Regular_Season,George Hill,194,376,81,176,85,101
NBA,2019 - 2020,Regular_Season,Kelly Olynyk,184,398,95,234,86,100
NBA,2019 - 2020,Regular_Season,Marquese Chriss,210,385,8,39,120,156
NBA,2019 - 2020,Regular_Season,Danny Green,197,474,120,327,33,48
NBA,2019 - 2020,Regular_Season,Clint Capela,244,388,0,0,55,104
NBA,2019 - 2020,Regular_Season,Terence Davis,199,436,94,242,51,59
NBA,2019 - 2020,Regular_Season,"Gary Trent, Jr.",196,441,112,268,37,45
NBA,2019 - 2020,Regular_Season,Josh Okogie,170,398,41,154,152,191
NBA,2019 - 2020,Regular_Season,Dwight Howard,202,277,3,5,110,214
NBA,2019 - 2020,Regular_Season,"Bruce Brown, Jr.",198,447,33,96,88,119
NBA,2019 - 2020,Regular_Season,"Michael Porter, Jr.",195,383,62,147,60,72
NBA,2019 - 2020,Regular_Season,Delon Wright,190,411,47,127,77,100
NBA,2019 - 2020,Regular_Season,Cameron Johnson,176,405,106,272,46,57
NBA,2019 - 2020,Regular_Season,Svi Mykhailiuk,166,405,115,285,57,70
NBA,2019 - 2020,Regular_Season,Jordan Poole,167,502,74,265,95,119
NBA,2019 - 2020,Regular_Season,P.J. Tucker,177,426,107,299,39,48
NBA,2019 - 2020,Regular_Season,Derrick Jones,184,349,37,132,95,123
NBA,2019 - 2020,Regular_Season,"Kevin Porter, Jr.",186,421,53,158,73,101
NBA,2019 - 2020,Regular_Season,Wesley Matthews,167,422,108,297,52,68
NBA,2019 - 2020,Regular_Season,Landry Shamet,158,391,111,296,65,76
NBA,2019 - 2020,Regular_Season,Isaiah Thomas,174,426,78,189,62,76
NBA,2019 - 2020,Regular_Season,Brad Wanamaker,162,362,37,102,126,136
NBA,2019 - 2020,Regular_Season,Tyus Jones,197,429,47,124,43,58
NBA,2019 - 2020,Regular_Season,Tony Snell,170,382,102,254,32,32
NBA,2019 - 2020,Regular_Season,Jaxson Hayes,174,260,1,4,123,190
NBA,2019 - 2020,Regular_Season,Enes Kanter,199,348,1,7,70,99
NBA,2019 - 2020,Regular_Season,Jalen Brunson,181,388,43,120,61,75
NBA,2019 - 2020,Regular_Season,E'Twaun Moore,186,437,63,167,31,45
NBA,2019 - 2020,Regular_Season,DeAndre Jordan,191,287,0,0,83,122
NBA,2019 - 2020,Regular_Season,T.J. McConnell,212,411,5,17,35,42
NBA,2019 - 2020,Regular_Season,Gorgui Dieng,166,364,54,152,78,101
NBA,2019 - 2020,Regular_Season,Derrick Favors,209,339,1,7,40,71
NBA,2019 - 2020,Regular_Season,Cory Joseph,171,412,56,159,60,70
NBA,2019 - 2020,Regular_Season,De'Anthony Melton,161,401,40,140,93,121
NBA,2019 - 2020,Regular_Season,James Ennis,160,359,55,169,79,98
NBA,2019 - 2020,Regular_Season,Royce O'Neale,158,365,92,244,42,55
NBA,2019 - 2020,Regular_Season,Nerlens Noel,184,269,1,3,80,106
NBA,2019 - 2020,Regular_Season,JaVale McGee,195,306,3,6,53,82
NBA,2019 - 2020,Regular_Season,Luke Kennard,151,342,73,183,67,75
NBA,2019 - 2020,Regular_Season,Alex Len,177,319,16,59,68,105
NBA,2019 - 2020,Regular_Season,Mason Plumlee,177,288,0,5,83,155
NBA,2019 - 2020,Regular_Season,JaMychal Green,151,352,92,238,36,48
NBA,2019 - 2020,Regular_Season,Trevor Ariza,142,324,77,207,62,74
NBA,2019 - 2020,Regular_Season,Avery Bradley,170,383,63,173,20,24
NBA,2019 - 2020,Regular_Season,Kevin Knox,144,401,65,199,66,101
NBA,2019 - 2020,Regular_Season,Rondae Hollis-Jefferson,155,329,3,23,105,143
NBA,2019 - 2020,Regular_Season,Ersan Ilyasova,146,313,50,137,72,87
NBA,2019 - 2020,Regular_Season,Chris Boucher,141,299,38,118,91,116
NBA,2019 - 2020,Regular_Season,Mike Scott,149,350,80,217,30,37
NBA,2019 - 2020,Regular_Season,Patrick Beverley,147,341,80,206,31,47
NBA,2019 - 2020,Regular_Season,Trey Lyles,153,343,65,168,33,45
NBA,2019 - 2020,Regular_Season,Nicolo Melli,136,323,69,206,54,73
