rank,votes,title,category,authors,avg_rating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
9,7878,"The Strangers (Greystone Secrets, #1)",Middle Grade & Children's,Margaret Peterson Haddix,3.83,416,2019-04-02,Katherine Tegen Books,618,1131,741,131,26,2647
10,7336,"Aru Shah and the Song of Death (Pandava Quartet, #2)",Middle Grade & Children's,Roshani Chokshi,4.3,381,2019-04-30,Rick Riordan Presents,1373,1261,360,34,15,3043
11,3481,The Bridge Home,Middle Grade & Children's,Padma Venkatraman,4.31,208,2019-02-05,Nancy Paulsen Books,1874,1453,440,63,35,3865
12,3371,Other Words for Home,Middle Grade & Children's,Jasmine Warga,4.46,352,2019-05-28,Balzer + Bray,3409,2052,385,63,49,5958
13,3061,"Legacy (Keeper of the Lost Cities, #8)",Middle Grade & Children's,Shannon Messenger,4.54,816,2019-11-05,Aladdin,2814,801,329,80,40,4064
14,2910,Shouting at the Rain,Middle Grade & Children's,Lynda Mullaly Hunt,4.19,288,2019-05-07,Nancy Paulsen Books,1336,1289,495,80,22,3222
15,2817,To Night Owl from Dogfish,Middle Grade & Children's,"Holly Goldberg Sloan, Meg Wolitzer",4.09,304,2019-02-12,Dial Books,1386,2266,741,83,29,4505
16,2757,"Dead Voices (Small Spaces, #2)",Middle Grade & Children's,Katherine Arden,4.07,236,2019-08-27,G.P. Putnam's Sons Books for Young Readers,706,1168,444,38,10,2366
17,2715,The Unteachables,Middle Grade & Children's,Gordon Korman,4.29,288,2019-01-08,Balzer + Bray,1581,1370,420,52,24,3447
18,2460,A Tale of Magic...,Middle Grade & Children's,Chris Colfer,3.69,484,2019-10-01,"Little, Brown Books for Young Readers",2064,1160,726,610,571,5131
19,1344,Dear Sweet Pea,Middle Grade & Children's,Julie   Murphy,4.03,273,2019-10-01,Balzer + Bray,525,925,386,25,8,1869
20,1295,Tristan Strong Punches a Hole in the Sky (Tristan Strong #1),Middle Grade & Children's,Kwame Mbalia,4.33,496,2019-10-15,Rick Riordan Presents,838,625,191,28,10,1692
1,29860,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Picture Books,"Fred Rogers, Luke Flowers, Josie Carey",4.34,,,None,861,454,182,43,19,1559
2,26891,Sulwe,Picture Books,"Lupita Nyong'o, Vashti Harrison",4.6,48,2019-10-15,Simon  Schuster Books for Young Readers,2399,784,200,27,26,3436
3,18586,"The Good Egg (The Bad Seed, #2)",Picture Books,"Jory John, Pete Oswald",4.14,36,2019-02-12,HarperCollins,1438,1279,553,133,40,3443
4,12925,Hair Love,Picture Books,"Matthew A. Cherry, Vashti Harrison",4.53,32,2019-05-14,Kokila,1441,671,157,21,5,2295
5,8998,Unicorn Day,Picture Books,"Diana  Murray, Luke Flowers",3.75,32,2019-06-04,Sourcebooks Jabberwocky,273,322,292,80,22,989
6,7954,A Tiger Like Me,Picture Books,"Michael Engler, Joëlle Tourlonias, Laura Watkinson",4.02,32,2019-09-01,Amazon Crossing Kids,445,266,228,67,22,1028
7,7396,Because,Picture Books,"Mo Willems, Amber Ren",4.27,40,2019-03-05,Hyperion Books for Children,1321,912,347,69,37,2686
8,6069,We Are (Not) Friends,Picture Books,"Anna Kang, Christopher Weyant",3.85,40,2019-05-01,Two Lions,660,553,387,113,109,1822
9,5807,Just Because,Picture Books,"Mac Barnett, Isabelle Arsenault",3.79,40,2019-09-10,Candlewick Press,310,457,318,78,27,1190
